id_espece;nom_espece
1145;PASTEQUE
1146;ROUGETTE
1147;TOMATE
1148;LAITUE ROUGE
1149;CONCOMBRE
1150;TOMATE
1151;FENOUIL
1152;FENOUIL BIO
1153;FENOUIL BIO
1154;FENOUIL
1155;FENOUIL
1156;DIVERS BIO
1157;PASTEQUE BIO
1158;BATAVIA BLONDE
1159;BATAVIA BLONDE BIO
1160;MACHE
1161;LAITUE
1162;FEUILLE DE CHENE (archivé)
1163;FEUILLE DE CHENE (archivé)
1164;FEVE
1165;FEVE
1166;COURGE
1167;POTIMARRON
1168;CHICOREE
1169;FENOUIL
1170;BASILIC
1171;BASILIC
1172;TOMATE
1173;CHOU-FLEUR
1174;MULTIFEUILLE ROUGE
1175;OIGNON
1176;OIGNON BIO
1177;CHOU-FRISE
1178;OIGNON
1179;TOMATE
1180;TOMATE BIO
1181;HARICOT
1182;HARICOT BIO
1183;CHOU-FLEUR
1184;CHOU-FLEUR BIO
1185;CHOU-FLEUR ORANGE
1186;COURGETTE
1187;AUBERGINE
1188;AUBERGINE BIO
1189;CHOU-FLEUR
1190;CHOU-FLEUR
1191;CHOU-FLEUR
1192;CHOU-FLEUR BIO
1193;FLEUR
1194;FLEUR BIO
1195;FLEUR BIO
1196;TOMATE
1197;FLEUR
1198;POTIMARRON
1199;POTIMARRON BIO
1200;CHOU-CHOUCROUTE
1201;CHENE BLONDE
1202;CHENE BLONDE BIO
1203;CHOU-ROMANESCO
1204;CHOU-ROMANESCO BIO
1205;POIVRON
1206;COURGETTE
1207;MULTIFEUILLE BLONDE
1208;RADIS RAVE
1209;POIVRON
1210;POIVRON BIO
1211;LAITUE
1212;CHOU-FLEUR
1213;CHOU-RAVE
1214;MELON
1215;PORTE GREFFE
1216;PORTE GREFFE BIO
1217;BATAVIA BLONDE
1218;BASILIC
1219;BASILIC BIO
1220;TOMATE
1221;LAITUE
1222;TOMATE
1223;CHOU-LISSE
1224;CHOU-LISSE BIO
1225;CONCOMBRE
1226;CHOU-FLEUR
